N°,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,CÓDIGO DE LV,LOCAL DE VOTACIÓN,DIRECCION DEL LOCAL DE VOTACIÓN,NÚMERO DE MESAS,NÚMERO DE RUTA,DESCRIPCIÓN DE RUTA,TIPO DE MOVILIDAD,FECHA DE SALIDA,HORA DE SALIDA,FECHA DE LLEGADA,HORA DE LLEGADA
1,LORETO,ALTO AMAZONAS,YURIMAGUAS,,14501,IE 62007 JOSE MARIA ARGUEDAS,AV CIRCUNVALACION 419,1,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
2,LORETO,ALTO AMAZONAS,YURIMAGUAS,,14515,IE PEDRO DEL CASTILLO RIOS,CALLE JOSE RIERA 103,8,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
3,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17767,CEBA VIRGEN DE LA NATIVIDAD,CALLE IQUITOS 425,4,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
4,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17768,IE AMALIA DEL AGUILA VELASQUEZ,CALLE AVIACION 304,14,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
5,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17771,IE 62005,CALLE MAYNAS 501,8,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
6,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17772,IE 62010 VIRGEN DE FATIMA,CALLE ANGAMOS 403,8,36,YURIMAGUAS - IE 62586 MARIA INMACULADA - CEBA VIRGEN DE LA NATIVIDAD - IE 62005 - IE 62005 - IESTP SAN JOSE - IE PEDRO DEL CASTILLO RIOS - IE AMALIA DEL AGUILA VELASQUEZ - IE 62010 VIRGEN DE FATIMA - IE 62010 VIRGEN DE FATIMA - IE 62172 JORGE ALFONSO VASQUEZ REATEGUI - IE 62002 MATILDE TUNJAR GUZMAN DE VELA - IE INDUSTRIAL 029 ,TERRESTRE,03/10/2026,07:00:00 a. m.,03/10/2026,12:00:00 p. m.
7,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17773,IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ,CALLE COMERCIO 928,12,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
8,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17774,IE 62500 PUEBLO JOVEN 82,CALLE PROLONGACION ARICA SN,9,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
9,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17776,IEP 62009 MARCELINA LOPEZ ROJAS,CALLE LIBERTAD 523,8,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
10,LORETO,ALTO AMAZONAS,YURIMAGUAS,,17777,IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO,CALLE JUAN IBARRA 231,3,37,YURIMAGUAS - IE 34 ANA LIMBANIA SALINAS SANTA MARIA DE ESCUDERO - IEP 62009 MARCELINA LOPEZ ROJAS - IE 62007 JOSE MARIA ARGUEDAS - IE 62174 REVERENDO PADRE JUAN JULIAN PRIMO RUIZ - IE 62500 PUEBLO JOVEN 82 - IESTP AMAZONAS YURIMAGUAS - UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS - IEP EMBLEMATICA VIRGEN DE LOS DOLORES - IE AGROPECUARIO 110,TERRESTRE,03/10/2026,07:30:00 a. m.,03/10/2026,11:30:00 a. m.
